Date,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Dividends,Stock Splits,Ticker,Market Cap,P/E Ratio,Dividend Yield,EPS
,TSLA,AAPL,TSM,AMZN,MSFT,PG,AMD,META,NIO,NFLX,GOOG,PYPL,DIS,COST,KO,INTC,ENPH,BA,CRM,ZS,XPEV,VZ,BX,F,NOC,TSLA,AAPL,TSM,AMZN,MSFT,PG,AMD,META,NIO,NFLX,GOOG,PYPL,DIS,COST,KO,INTC,ENPH,BA,CRM,ZS,XPEV,VZ,BX,F,NOC,TSLA,AAPL,TSM,AMZN,MSFT,PG,AMD,META,NIO,NFLX,GOOG,PYPL,DIS,COST,KO,INTC,ENPH,BA,CRM,ZS,XPEV,VZ,BX,F,NOC,TSLA,AAPL,TSM,AMZN,MSFT,PG,AMD,META,NIO,NFLX,GOOG,PYPL,DIS,COST,KO,INTC,ENPH,BA,CRM,ZS,XPEV,VZ,BX,F,NOC,TSLA,AAPL,TSM,AMZN,MSFT,PG,AMD,META,NIO,NFLX,GOOG,PYPL,DIS,COST,KO,INTC,ENPH,BA,CRM,ZS,XPEV,VZ,BX,F,NOC,,,,,,,
2023-01-03,118.47000122070312,,,,,,,,,,,,,,,,,,,,,,,,,118.80000305175781,,,,,,,,,,,,,,,,,,,,,,,,,104.63999938964844,,,,,,,,,,,,,,,,,,,,,,,,,108.0999984741211,,,,,,,,,,,,,,,,,,,,,,,,,231402800.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,TSLA,1086540414976,166.40393,,2.03
2023-01-04,109.11000061035156,,,,,,,,,,,,,,,,,,,,,,,,,114.58999633789062,,,,,,,,,,,,,,,,,,,,,,,,,107.5199966430664,,,,,,,,,,,,,,,,,,,,,,,,,113.63999938964844,,,,,,,,,,,,,,,,,,,,,,,,,180389000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,TSLA,1086540414976,166.40393,,2.03
2023-01-05,110.51000213623047,,,,,,,,,,,,,,,,,,,,,,,,,111.75,,,,,,,,,,,,,,,,,,,,,,,,,107.16000366210938,,,,,,,,,,,,,,,,,,,,,,,,,110.33999633789062,,,,,,,,,,,,,,,,,,,,,,,,,157986300.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,TSLA,1086540414976,166.40393,,2.03
2023-01-06,103.0,,,,,,,,,,,,,,,,,,,,,,,,,114.38999938964844,,,,,,,,,,,,,,,,,,,,,,,,,101.80999755859375,,,,,,,,,,,,,,,,,,,,,,,,,113.05999755859375,,,,,,,,,,,,,,,,,,,,,,,,,220911100.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,TSLA,1086540414976,166.40393,,2.03
2023-01-09,118.95999908447266,,,,,,,,,,,,,,,,,,,,,,,,,123.5199966430664,,,,,,,,,,,,,,,,,,,,,,,,,117.11000061035156,,,,,,,,,,,,,,,,,,,,,,,,,119.7699966430664,,,,,,,,,,,,,,,,,,,,,,,,,190284000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,TSLA,1086540414976,166.40393,,2.03
2023-01-10,121.06999969482422,,,,,,,,,,,,,,,,,,,,,,,,,122.76000213623047,,,,,,,,,,,,,,,,,,,,,,,,,114.91999816894531,,,,,,,,,,,,,,,,,,,,,,,,,118.8499984741211,,,,,,,,,,,,,,,,,,,,,,,,,167642500.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,TSLA,1086540414976,166.40393,,2.03
2023-01-11,122.08999633789062,,,,,,,,,,,,,,,,,,,,,,,,,125.94999694824219,,,,,,,,,,,,,,,,,,,,,,,,,120.51000213623047,,,,,,,,,,,,,,,,,,,,,,,,,123.22000122070312,,,,,,,,,,,,,,,,,,,,,,,,,183810800.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,TSLA,1086540414976,166.40393,,2.03
2023-01-12,122.55999755859375,,,,,,,,,,,,,,,,,,,,,,,,,124.12999725341797,,,,,,,,,,,,,,,,,,,,,,,,,117.0,,,,,,,,,,,,,,,,,,,,,,,,,123.55999755859375,,,,,,,,,,,,,,,,,,,,,,,,,169400900.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,TSLA,1086540414976,166.40393,,2.03
2023-01-13,116.55000305175781,,,,,,,,,,,,,,,,,,,,,,,,,122.62999725341797,,,,,,,,,,,,,,,,,,,,,,,,,115.5999984741211,,,,,,,,,,,,,,,,,,,,,,,,,122.4000015258789,,,,,,,,,,,,,,,,,,,,,,,,,180714100.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,TSLA,1086540414976,166.40393,,2.03
2023-01-17,125.69999694824219,,,,,,,,,,,,,,,,,,,,,,,,,131.6999969482422,,,,,,,,,,,,,,,,,,,,,,,,,125.0199966430664,,,,,,,,,,,,,,,,,,,,,,,,,131.49000549316406,,,,,,,,,,,,,,,,,,,,,,,,,186477000.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,TSLA,1086540414976,166.40393,,2.03
2023-01-18,136.55999755859375,,,,,,,,,,,,,,,,,,,,,,,,,136.67999267578125,,,,,,,,,,,,,,,,,,,,,,,,,127.01000213623047,,,,,,,,,,,,,,,,,,,,,,,,,128.77999877929688,,,,,,,,,,,,,,,,,,,,,,,,,195680300.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,TSLA,1086540414976,166.40393,,2.03
2023-01-19,127.26000213623047,,,,,,,,,,,,,,,,,,,,,,,,,129.99000549316406,,,,,,,,,,,,,,,,,,,,,,,,,124.30999755859375,,,,,,,,,,,,,,,,,,,,,,,,,127.16999816894531,,,,,,,,,,,,,,,,,,,,,,,,,170291900.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,TSLA,1086540414976,166.40393,,2.03
2023-01-20,128.67999267578125,,,,,,,,,,,,,,,,,,,,,,,,,133.50999450683594,,,,,,,,,,,,,,,,,,,,,,,,,127.3499984741211,,,,,,,,,,,,,,,,,,,,,,,,,133.4199981689453,,,,,,,,,,,,,,,,,,,,,,,,,138858100.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,TSLA,1086540414976,166.40393,,2.03
2023-01-23,135.8699951171875,,,,,,,,,,,,,,,,,,,,,,,,,145.3800048828125,,,,,,,,,,,,,,,,,,,,,,,,,134.27000427246094,,,,,,,,,,,,,,,,,,,,,,,,,143.75,,,,,,,,,,,,,,,,,,,,,,,,,203119200.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,TSLA,1086540414976,166.40393,,2.03
2023-01-24,143.0,,,,,,,,,,,,,,,,,,,,,,,,,146.5,,,,,,,,,,,,,,,,,,,,,,,,,141.10000610351562,,,,,,,,,,,,,,,,,,,,,,,,,143.88999938964844,,,,,,,,,,,,,,,,,,,,,,,,,158699100.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,TSLA,1086540414976,166.40393,,2.03
2023-01-25,141.91000366210938,,,,,,,,,,,,,,,,,,,,,,,,,146.41000366210938,,,,,,,,,,,,,,,,,,,,,,,,,138.07000732421875,,,,,,,,,,,,,,,,,,,,,,,,,144.42999267578125,,,,,,,,,,,,,,,,,,,,,,,,,192734300.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,TSLA,1086540414976,166.40393,,2.03
2023-01-26,159.97000122070312,,,,,,,,,,,,,,,,,,,,,,,,,161.4199981689453,,,,,,,,,,,,,,,,,,,,,,,,,154.75999450683594,,,,,,,,,,,,,,,,,,,,,,,,,160.27000427246094,,,,,,,,,,,,,,,,,,,,,,,,,234815100.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,TSLA,1086540414976,166.40393,,2.03
2023-01-27,162.42999267578125,,,,,,,,,,,,,,,,,,,,,,,,,180.67999267578125,,,,,,,,,,,,,,,,,,,,,,,,,161.1699981689453,,,,,,,,,,,,,,,,,,,,,,,,,177.89999389648438,,,,,,,,,,,,,,,,,,,,,,,,,306590600.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,TSLA,1086540414976,166.40393,,2.03
2023-01-30,178.0500030517578,,,,,,,,,,,,,,,,,,,,,,,,,179.77000427246094,,,,,,,,,,,,,,,,,,,,,,,,,166.5,,,,,,,,,,,,,,,,,,,,,,,,,166.66000366210938,,,,,,,,,,,,,,,,,,,,,,,,,230878800.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,TSLA,1086540414976,166.40393,,2.03
2023-01-31,164.57000732421875,,,,,,,,,,,,,,,,,,,,,,,,,174.3000030517578,,,,,,,,,,,,,,,,,,,,,,,,,162.77999877929688,,,,,,,,,,,,,,,,,,,,,,,,,173.22000122070312,,,,,,,,,,,,,,,,,,,,,,,,,196813500.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,TSLA,1086540414976,166.40393,,2.03
2023-02-01,173.88999938964844,,,,,,,,,,,,,,,,,,,,,,,,,183.80999755859375,,,,,,,,,,,,,,,,,,,,,,,,,169.92999267578125,,,,,,,,,,,,,,,,,,,,,,,,,181.41000366210938,,,,,,,,,,,,,,,,,,,,,,,,,213806300.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,TSLA,1086540414976,166.40393,,2.03
